"","nicu","name","full_address","addr","city","state","zip","level","beds","type","contact"
"724",724,"Methodist Dallas Medical Center","1441 N Beckley Ave Dallas TX 75203","1441 N Beckley Ave","Dallas","TX","75203","III",50,"Private Practice",NA
"725",725,"Methodist Hospital","1305 N Elm St Henderson KY 42420","1305 N Elm St","Henderson","KY","42420","III",15,"Private Practice","Iyad Aljabi, MD"
"726",726,"Methodist Hospital","6500 Excelsior Blvd St. Louis Park MN 55426","6500 Excelsior Blvd","St. Louis Park","MN","55426","II",NA,NA,NA
"727",727,"Methodist Hospital Northlake","600 Grant St, Gary IN 46402","600 Grant St,","Gary","IN","46402","III",11,"Private Practice",NA
"728",728,"Methodist Hospital of Sacramento","7500 Hospital Dr Sacramento CA 95823","7500 Hospital Dr","Sacramento","CA","95823","II",12,NA,NA
"729",729,"Methodist Hospital of Southern California","300 Huntington Dr Arcadia CA 91007","300 Huntington Dr","Arcadia","CA","91007","II",17,NA,NA
"730",730,"Methodist Hospital Southlake","8701 Broadway, Merrillville IN 46410","8701 Broadway,","Merrillville","IN","46410","III",20,"Private Practice",NA
"731",731,"Methodist Le Bonheur Germantown Hospital","7691 Poplar Ave. Germantown TN 38138","7691 Poplar Ave.","Germantown","TN","38138","III",24,"Private Practice","Bruce Jenkins, MD"
"732",732,"Methodist Richardson Medical Center","2831 E President George Bush Hwy Richardson TX 75082","2831 E President George Bush Hwy","Richardson","TX","75082","III",NA,"Private Practice",NA
"733",733,"Methodist South Hospital","1300 Wesley Dr. Memphis TN 38116","1300 Wesley Dr.","Memphis","TN","38116","II",NA,"Private Practice","Bruce Jenkins, MD"
"734",734,"Methodist Stone Oak Hospital","1139 E Sonterra Blvd San Antonio TX 78258","1139 E Sonterra Blvd","San Antonio","TX","78258","III",9,NA,NA
"735",735,"Methodist Women’s Hospital","707 N. 190th Plaza Omaha NE 68022","707 N. 190th Plaza","Omaha","NE","68022","III",51,"Private Practice","David Minderman, MD"
"736",736,"MetroHealth","2500 MetroHealth Drive Cleveland OH 44109","2500 MetroHealth Drive","Cleveland","OH","44109","III",49,"Academic Program","Prabhu Parimi, MD"
"737",737,"Metropolitan Hospital Center","1901 1st Avenue New York NY 10029","1901 1st Avenue","New York","NY","10029","III",15,"Academic Program","Emad Ghaly, MD"
"738",738,"Metropolitan Methodist Hospital","1310 McCullough Ave San Antonio TX 78212","1310 McCullough Ave","San Antonio","TX","78212","III",40,NA,NA
"739",739,"MetroWest Medical Center","115 Lincoln St Framingham MA 01702","115 Lincoln St","Framingham","MA","01702","II",12,"Academic Program","MaryAnn Volpe, MD"
"740",740,"Miami Valley Medical Center","1 Wyoming St Dayton OH 45409","1 Wyoming St","Dayton","OH","45409","III",60,"Private Practice",NA
"741",741,"Middlesex Hospital","28 Crescent St Middletown CT 06457","28 Crescent St","Middletown","CT","06457","II",NA,"Academic Program","Cliff Callahan, MD"
"742",742,"Midland Memorial Hospital","400 Rosalind Redfern Grover Pkwy Midland TX 79701","400 Rosalind Redfern Grover Pkwy","Midland","TX","79701","II",18,"Private Practice",NA
"743",743,"Millard Fillmore Suburban Hospital","1540 Maple Road Amherst NY 14221","1540 Maple Road","Amherst","NY","14221","II",10,"Academic Program","Deepali Handa, MD"
"744",744,"Miller Children’s and Women’s Hospital","2801 Atlantic Ave Long Beach CA 90806","2801 Atlantic Ave","Long Beach","CA","90806","III",96,"Private Practice","Antoine Soliman, MD"
"745",745,"Mills-Peninsula Health Services","1501 Trousdale Dr Burlingame CA 94010","1501 Trousdale Dr","Burlingame","CA","94010","II",5,NA,NA
"746",746,"Mission Hospital","509 Biltmore Ave Asheville NC 28801","509 Biltmore Ave","Asheville","NC","28801","III",51,"Employed Group","Jesse Bender, MD"
"747",747,"Mission Hospital","27700 Medical Center Rd Mission Viejo CA 92691","27700 Medical Center Rd","Mission Viejo","CA","92691","III",22,"Private Practice","Stephen Hanten, MD"
"748",748,"Mission Regional Medical Center","900 S Bryan Rd Mission TX 78572","900 S Bryan Rd","Mission","TX","78572","III",20,"Private Practice",NA
"749",749,"Mississippi Baptist Medical Center","1225 N State St Jackson MS 39202","1225 N State St","Jackson","MS","39202","III",32,"Private Practice",NA
"750",750,"Missouri Baptist Medical Center","3015 N Ballas Rd St. Louis MO 63131","3015 N Ballas Rd","St. Louis","MO","63131","III",25,"Academic Program","Steve Liao, MD"
"751",751,"Mohawk Valley Health System – St. Luke’s Campus","1656 Champlin Ave Utica NY 13502","1656 Champlin Ave","Utica","NY","13502","II",12,"Private Practice",NA
"752",752,"Monmouth Medical Center","300 2nd Ave Long Branch NJ 07740","300 2nd Ave","Long Branch","NJ","07740","III",29,"Private Practice","Susan Hudome, MD"
"753",753,"Montefiore Medical Center – Einstein Campus","1825 Eastchester Road Bronx NY 10461","1825 Eastchester Road","Bronx","NY","10461","IV",35,"Academic Program","Suhas Nafday, MD"
"754",754,"Montefiore Medical Center – Wakefield Campus","600 East 233rd Street Bronx NY 10466","600 East 233rd Street","Bronx","NY","10466","III",15,"Academic Program",NA
"755",755,"Montefiore New Rochelle Hospital","16 Guion Pl New Rochelle NY 10801","16 Guion Pl","New Rochelle","NY","10801","III",10,"Academic Program",NA
"756",756,"Montefiore Nyack Hospital","160 N Midland Ave, Nyack NY 10960","160 N Midland Ave,","Nyack","NY","10960","II",10,NA,"Jesus Jaile-Marti, MD"
"757",757,"Montefiore St. Lule’s Cornwall Hospitqal","70 Dubois St Newburgh NY 12550","70 Dubois St","Newburgh","NY","12550","II",10,"Academic Program","Prabhakar Kocherlakota, MD"
"758",758,"Montgomery Medical Center","18101 Prince Philip Dr Olney MD 20832","18101 Prince Philip Dr","Olney","MD","20832","II",18,"Academic Program","Nitin Mehta, MD"
"759",759,"Morristown Medical Center","100 Madison Avenue, Morristown NJ 07960","100 Madison Avenue,","Morristown","NJ","07960","III",34,"Private Practice","Lawrence Skolnick, MD"
"760",760,"Morton Plant Hospital","300 Pinellas St Clearwater FL 33756","300 Pinellas St","Clearwater","FL","33756","II",15,"Private Practice",NA
"761",761,"Moses Taylor Hospital","700 Quincy Ave Scranton PA 18510","700 Quincy Ave","Scranton","PA","18510","III",16,"Private Practice","Open Position"
"762",762,"Mount Auburn Hospital","330 Mt Auburn St Cambridge MA 02138","330 Mt Auburn St","Cambridge","MA","02138","II",7,"Employed Group","Nicole Grady, MD"
"763",763,"Mount Carmel East","6001 E Broad St Columbus OH 43213","6001 E Broad St","Columbus","OH","43213","III",23,"Private Practice","Tony Thiele, DO"
"764",764,"Mount Carmel Grove City","5300 North Meadows Drive Grove City OH 43123","5300 North Meadows Drive","Grove City","OH","43123","III",16,"Private Practice",NA
"765",765,"Mount Carmel St. Ann’s Hospital","500 S Cleveland Ave Westerville OH 43081","500 S Cleveland Ave","Westerville","OH","43081","III",23,"Private Practice","Randy Miller, MD"
"766",766,"Mount Sinai Hospital","1500 S Fairfield Ave Chicago IL 60608","1500 S Fairfield Ave","Chicago","IL","60608","III",44,"Academic Program",NA
"767",767,"Mount Sinai Kravis Children’s Hospital","1176 Fifth Avenue New York NY 10029","1176 Fifth Avenue","New York","NY","10029","IV",46,"Academic Program","Courtney Juliano, MD"
"768",768,"Mount Sinai Medical Center","4300 Alton Rd Miami Beach FL 33140","4300 Alton Rd","Miami Beach","FL","33140","III",8,NA,"Jose Adams, MD"
"769",769,"Mount Sinai South Nassau Hospital","1 Healthy Way Oceanside NY 11572","1 Healthy Way","Oceanside","NY","11572","II",6,"Hospital Employed","Warren Rosenfeld, MD"
"770",770,"Mount Sinai West","1000 10th Ave New York NY 10019","1000 10th Ave","New York","NY","10019","III",35,"Academic Program","Lisa Eiland, MD"
"771",771,"Mountain View Hospital","3100 N Tenaya Way Las Vegas NV 89128","3100 N Tenaya Way","Las Vegas","NV","89128","III",24,"Private Practice","Patricia Ramsey, MD"
"772",772,"Mountain View Hospital","1000 E 100 N Payson UT 84651","1000 E 100 N","Payson","UT","84651","II",NA,"Private Practice","Dale Gerstmann, MD"
"773",773,"Mountain View Medical Center","4311 E Lohman Ave Las Cruces NM 88011","4311 E Lohman Ave","Las Cruces","NM","88011","II",12,"Private Practice","Marcella Denen, MD"
"774",774,"Mountain Vista Medical Center","1301 S Crismon Rd Mesa AZ 85209","1301 S Crismon Rd","Mesa","AZ","85209","II",NA,NA,NA
"775",775,"Mountainside Hospital","1 Bay Ave Glen Ridge NJ 07028","1 Bay Ave","Glen Ridge","NJ","07028","II",4,"Private Practice","Jonathan Mintzer, MD"
"776",776,"Multicare Auburn Medical Center","202 N Division St. Auburn WA 98001","202 N Division St.","Auburn","WA","98001","II",NA,"Private Practice",NA
"777",777,"Multicare Deaconess Hospital","800 W 5th Ave Spokane WA 99204","800 W 5th Ave","Spokane","WA","99204","III",44,"Private Practice","Teicha Wilson, MD"
"778",778,"MultiCare Good Samaritan Hospital","401 15th Ave SE Puyallup WA 98372","401 15th Ave SE","Puyallup","WA","98372","III",43,"Private Practice",NA
"779",779,"MultiCare Tacoma General Hospital","315 Martin Luther King Junior Way Tacoma WA 98405","315 Martin Luther King Junior Way","Tacoma","WA","98405","IV",70,"Private Practice","Ray Sato, MD"
"780",780,"Munson Medical Center","1105 6th St Traverse City MI 49684","1105 6th St","Traverse City","MI","49684","III",22,"Employed Group","Matthew Arnold, MD"
"781",781,"MUSC Children’s Hospital","165 Ashley Ave Charleston SC 29425","165 Ashley Ave","Charleston","SC","29425","III",66,"Academic Program","David Annibale. MD"
"782",782,"Nacogdoches Medical Center","4920 NE Stallings Dr Nacogdoches TX 75965","4920 NE Stallings Dr","Nacogdoches","TX","75965","II",8,"Private Practice","Richard Deulofeut, MD"
"783",783,"Nacogdoches Memorial Hospital","1204 N Mound St Nacogdoches TX 75961","1204 N Mound St","Nacogdoches","TX","75961","II",NA,NA,NA
"784",784,"Nash UNC Health Care","2460 Curtis Ellis Drive Rocky Mount NC 27804","2460 Curtis Ellis Drive","Rocky Mount","NC","27804","II",12,"Academic Program",NA
"785",785,"Nashville General Hospital","1818 Albion St Nashville TN 37208","1818 Albion St","Nashville","TN","37208","II",NA,"Private Practice","Susan Campbell. MD"
"786",786,"Nassau University Medical Center","2201 Hempstead Turnpike East Meadow NY 11554","2201 Hempstead Turnpike","East Meadow","NY","11554","III",28,"Academic Program","Harriet Boxer, MD"
"787",787,"National Park Medical Center","1910 Malvern Ave Hot Springs AR 71901","1910 Malvern Ave","Hot Springs","AR","71901","II",NA,NA,NA
"788",788,"Nationwide Children’s Hospital","700 Children's Dr Columbus OH 43205","700 Children's Dr","Columbus","OH","43205","IV",130,"Academic Program","Edward Shepherd, MD"
"789",789,"Natividad Medical Center","1441 Constitution Blvd Salinas CA 93906","1441 Constitution Blvd","Salinas","CA","93906","III",15,NA,NA
"790",790,"Naval Hospital at Camp LeJune","100 Brewster Blvd Camp Lejeune NC 28547","100 Brewster Blvd","Camp Lejeune","NC","28547","II",NA,"Private Practice","Caleb Podraza, MD"
"791",791,"Naval Medical Center Portsmouth","620 John Paul Jones Cir Portsmouth VA 23708","620 John Paul Jones Cir","Portsmouth","VA","23708","III",24,NA,NA
"792",792,"Naval Medical Center San Diego","34800 Bob Wilson Dr San Diego CA 92134","34800 Bob Wilson Dr","San Diego","CA","92134","III",32,NA,NA
"793",793,"Navicent Health – Children’s Hospital","888 Pine St Macon GA 31201","888 Pine St","Macon","GA","31201","III",66,"Private Practice","Mitch Rodriguez, MD"
"794",794,"Nemours Children’s Hospital","13535 Nemours Parkway Orlando FL 32827","13535 Nemours Parkway","Orlando","FL","32827","III",13,"Academic Program","Darlene Calhoun, MD"
"795",795,"Nemours/Alfred I. duPont Hospital for Children","1600 Rockland Road Wilmington DE 19803","1600 Rockland Road","Wilmington","DE","19803","IV",36,"Academic Program","Mark Ogino, MD"
"796",796,"New Hanover Regional Medical Center","2131 S 17th St Wilmington NC 28401","2131 S 17th St","Wilmington","NC","28401","III",45,"Private Practice","Sherri Carol, MD"
"797",797,"New York Presbyterian / Columbia University Medical Center","622 W 168th St New York NY 10032","622 W 168th St","New York","NY","10032","IV",62,"Academic Program","Marianne Garland, MD"
"798",798,"New York Presbyterian Allen Hospital","5141 Broadway New York NY 10034","5141 Broadway","New York","NY","10034","II",6,"Academic Program",NA
"799",799,"New York Presbyterian Brooklyn Methodist Hospital","506 6th St Brooklyn NY 11215","506 6th St","Brooklyn","NY","11215","III",26,"Academic Program","Madhu Gudavalli, MD"
"800",800,"New York Presbyterian Hudson Valley Hospital","1980 Crompond Road Cortlandt Manor NY 10567","1980 Crompond Road","Cortlandt Manor","NY","10567","II",8,"Academic Program",NA
"801",801,"New York Presbyterian Lawrence Hospital","55 Palmer Avenue Bronxville NY 10708","55 Palmer Avenue","Bronxville","NY","10708","II",7,NA,NA
"802",802,"New York-Presbyterian Hospital / Queens","56-45 Main St Flushing NY 11355","56-45 Main St","Flushing","NY","11355","III",14,"Academic Program","Pinchi Srinivasan, MD"
"803",803,"New York-Presbyterian Lower Manhattan Hospital","170 William St New York NY 10038","170 William St","New York","NY","10038","II",8,"Academic Program","Jeffrey M. Perlman, MD"
"804",804,"Newark Beth Israel Medical Center","201 Lyons Ave, Newark NJ 07112","201 Lyons Ave,","Newark","NJ","07112","IV",46,"Employed Group","Morris Cohen, MD"
"805",805,"Newton Medical Center","175 High St, Newton NJ 07860","175 High St,","Newton","NJ","07860","II",NA,NA,NA
"806",806,"Newton Medical Center","600 Medical Center Dr Newton KS 67114","600 Medical Center Dr","Newton","KS","67114","II",NA,NA,NA
"807",807,"Newton-Wellesley Hospital","2014 Washington St Newton MA 02462","2014 Washington St","Newton","MA","02462","II",12,"Academic Program","Sujatha Ramadurai, MD"
"808",808,"NewYork-Presbyterian Hospital / Weill Cornell Medical Center","525 E 68th St New York NY 10065","525 E 68th St","New York","NY","10065","IV",50,"Academic Program",NA
"809",809,"Nicklaus Children’s Hospital","3100 Southwest 62nd Avenue Miami FL 33155","3100 Southwest 62nd Avenue","Miami","FL","33155","III",40,"Employed Group","Saima Aftab, MD"
"810",810,"Norman Regional HealthPlex","3300 HealthPlex Parkway Norman OK 73072","3300 HealthPlex Parkway","Norman","OK","73072","III",16,NA,NA
"811",811,"Norman Regional Moore","700 S Telephone Rd Moore OK 73160","700 S Telephone Rd","Moore","OK","73160","II",NA,NA,NA
"812",812,"North Central Baptist Hospital","520 Madison Oak Dr San Antonio TX 78258","520 Madison Oak Dr","San Antonio","TX","78258","IV",60,"Private Practice","Mary Wearden, MD"
"813",813,"North Central Bronx Hospital","3424 Kossuth Avenue Bronx NY 10467","3424 Kossuth Avenue","Bronx","NY","10467","II",11,"Academic Program","Ronald Saintonge, MD"
"814",814,"North Colorado Medical Center","1801 16th St Greeley CO 80631","1801 16th St","Greeley","CO","80631","II",NA,"Private Practice",NA
"815",815,"North Florida Regional Medical Center","6500 W Newberry Rd Gainesville FL 32605","6500 W Newberry Rd","Gainesville","FL","32605","II",12,"Private Practice",NA
"816",816,"North Kansas City Hospital","2800 Clay Edwards Dr North Kansas City MO 64116","2800 Clay Edwards Dr","North Kansas City","MO","64116","III",18,"Academic Program","Steven Olsen, MD"
"817",817,"North Memorial Health Hospital","3300 Oakdale Ave N Robbinsdale MN 55422","3300 Oakdale Ave N","Robbinsdale","MN","55422","III",35,"Private Practice","Jeanne Mrozek, MD"
"818",818,"North Mississippi Medical Center – Gilmore Amory","1105 Earl Frye Blvd Amory MS 38821","1105 Earl Frye Blvd","Amory","MS","38821","II",6,"Private Practice","Zhear Al-Godi, MD"
"819",819,"North Mississippi Medical Center – Tupelo","830 S Gloster St Tupelo MS 38801","830 S Gloster St","Tupelo","MS","38801","III",34,"Private Practice","Open Position"
"820",820,"North Oaks Medical Center","15790 N Oaks Dr Hammond LA 70403","15790 N Oaks Dr","Hammond","LA","70403","III",14,"Academic Program","Jeffrey Surcouf, MD"
"821",821,"North Shore Medical Center","1100 NW 95th St, Miami FL 33150","1100 NW 95th St,","Miami","FL","33150","III",NA,"Private Practice",NA
"822",822,"North Shore Medical Center","81 Highland Avenue Salem MA 01970","81 Highland Avenue","Salem","MA","01970","II",12,"Academic Program","Katheryn Nathe, MD (Interim)"
"823",823,"North Shore University Hospital","300 Community Dr Manhasset NY 11030","300 Community Dr","Manhasset","NY","11030","III",51,"Academic Program","Richard Schanler, MD"
"824",824,"North Suburban Medical Center","9191 Grant St Thornton CO 80229","9191 Grant St","Thornton","CO","80229","II",NA,"Private Practice","Pamela Gewinner, MD"
"825",825,"Northbay Medical Center","1200 B Gale Wilson Blvd Fairfield CA 94533","1200 B Gale Wilson Blvd","Fairfield","CA","94533","III",16,NA,NA
"826",826,"Northeast Baptist Hospital","8811 Village Dr San Antonio TX 78217","8811 Village Dr","San Antonio","TX","78217","III",16,"Private Practice",NA
"827",827,"Northeast Georgia Medical Center","743 Spring St NE Gainesville GA 30501","743 Spring St NE","Gainesville","GA","30501","III",26,"Private Practice","Cynthia Cabrera, MD"
"828",828,"Northern Light Mercy Hospital","144 State St Portland ME 04101","144 State St","Portland","ME","04101","II",NA,NA,NA
"829",829,"Northern Westchester Hospital","400 E Main St Mt Kisco NY 10549","400 E Main St","Mt Kisco","NY","10549","III",10,"Hospital Employed","Rick Stafford, MD"
"830",830,"Northport Medical Center","2700 Hospital Dr Northport AL 35476","2700 Hospital Dr","Northport","AL","35476","II",13,"Private Practice","Javier Repetto, MD"
"831",831,"Northridge Hospital Medical Center","18300 Roscoe Blvd Northridge CA 91325","18300 Roscoe Blvd","Northridge","CA","91325","III",17,NA,NA
"832",832,"Northside Hospital","1000 Johnson Ferry Rd NE Atlanta GA 30342","1000 Johnson Ferry Rd NE","Atlanta","GA","30342","III",100,"Private Practice","Kenneth Kupke, MD"
"833",833,"Northside Hospital Cherokee","450 Northside Cherokee Blvd Canton GA 30115","450 Northside Cherokee Blvd","Canton","GA","30115","III",15,"Private Practice",NA
"834",834,"Northside Hospital Forsyth","1200 Northside Forsyth Dr Cumming GA 30041","1200 Northside Forsyth Dr","Cumming","GA","30041","III",21,"Private Practice","Davin Miller, MD"
"835",835,"Northside Hospital Gwinnett","1000 Medical Center Blvd Lawrenceville GA 30046","1000 Medical Center Blvd","Lawrenceville","GA","30046","III",28,"Private Practice",NA
"836",836,"Northwest Community Hospital","800 W Central Rd Arlington Heights IL 60005","800 W Central Rd","Arlington Heights","IL","60005","III",22,"Academic Program","Joel Fisher, MD"
"837",837,"Northwest Hospital","1959 NE Pacific St Seattle WA 98195","1959 NE Pacific St","Seattle","WA","98195","II",NA,"Academic Program","Toby Cohen, MD"
"838",838,"Northwest Medical Center","6200 N La Cholla Blvd Tucson AZ 85741","6200 N La Cholla Blvd","Tucson","AZ","85741","II",17,"Private Practice","Latha  Kumaraswam, MD"
"839",839,"Northwest Medical Center","2801 N State Rd 7 Margate FL 33063","2801 N State Rd 7","Margate","FL","33063","III",17,"Private Practice",NA
"840",840,"Northwest Medical Center-Bentonville","3000 Medical Center Pkwy Bentonville AR 72712","3000 Medical Center Pkwy","Bentonville","AR","72712","II",6,"Network Medical Group","Travis Anschutz, MD"
"841",841,"Northwest Texas Hospital","1501 South Coulter Street Amarillo TX 79106","1501 South Coulter Street","Amarillo","TX","79106","III",32,NA,NA
"842",842,"Northwestern Medicine Central DuPage Hospital","25 N Winfield Rd Winfield IL 60190","25 N Winfield Rd","Winfield","IL","60190","III",29,"Academic Program","Jeffrey Loughhead, MD"
"843",843,"Northwestern Medicine Delnor Hospital","300 Randall Rd Geneva IL 60134","300 Randall Rd","Geneva","IL","60134","II",NA,"Academic Program","Jeffrey Loughead, MD"
"844",844,"Northwestern Medicine Huntley Hospital","10400 Haligus Rd Huntley IL 60142","10400 Haligus Rd","Huntley","IL","60142","II",NA,"Private Practice","Margaret Go, MD"
"845",845,"Northwestern Medicine Lake Forest Hospital","1000 N Westmoreland Rd Lake Forest IL 60045","1000 N Westmoreland Rd","Lake Forest","IL","60045","II",NA,"Academic Program",NA
"846",846,"Northwestern Memorial Hospital","251 E. Huron St. Chicago IL 60611","251 E. Huron St.","Chicago","IL","60611","III",44,"Academic Program","Leslie Caldarelli, MD"
"847",847,"Norton Children’s Hospital","231 E Chestnut St Louisville KY 40202","231 E Chestnut St","Louisville","KY","40202","IV",101,"Academic Program","Scott Duncan, MD"
"848",848,"Norton Hospital","4001 Dutchmans Ln Louisville KY 40207","4001 Dutchmans Ln","Louisville","KY","40207","III",44,"Academic Program",NA
"849",849,"Norwalk Hospital","34 Maple St Norwalk CT 06856","34 Maple St","Norwalk","CT","06856","III",16,"Academic Program","Brett Citarella, MD (Interim)"
"850",850,"Novant Health Huntersville Medical Center","10030 Gilead Rd Huntersville NC 28078","10030 Gilead Rd","Huntersville","NC","28078","III",4,"Private Practice",NA
"851",851,"Novant Health Matthews Medical Center","1500 Matthews Township Pkwy Matthews NC 28105","1500 Matthews Township Pkwy","Matthews","NC","28105","II",NA,"Private Practice",NA
"852",852,"Novant Health Mint Hill Medical Center","8201 Healthcare Loop Charlotte NC 28215","8201 Healthcare Loop","Charlotte","NC","28215","II",NA,"Private Practice",NA
"853",853,"Novant Presbyterian Medical Center","200 Hawthorne Ln Charlotte NC 28204","200 Hawthorne Ln","Charlotte","NC","28204","IV",38,"Private Practice","Joseph Brady, MD"
"854",854,"NYU Langone Brooklyn","150 55th Street Brooklyn NY 11220","150 55th Street","Brooklyn","NY","11220","II",10,"Academic Program",NA
"855",855,"NYU Winthrop Hospital","259 1st St New York NY 11501","259 1st St","New York","NY","11501","IV",35,"Academic Program","Nazeeh Hanna, MD"
"856",856,"O’Connor Hospital","2105 Forest Ave San Jose CA 95128","2105 Forest Ave","San Jose","CA","95128","III",10,NA,NA
"857",857,"Oak Hill Hospital","11375 Cortez Blvd Brooksville FL 34613","11375 Cortez Blvd","Brooksville","FL","34613","II",10,"Private Practice","Alfredo Cartaya, MD"
"858",858,"OakBend Medical Center","1705 Jackson St Richmond TX 77469","1705 Jackson St","Richmond","TX","77469","II",30,NA,NA
"859",859,"Ocean Medical Center","415-425 Jack Martin Blvd, Brick Township NJ 08724","415-425 Jack Martin Blvd,","Brick Township","NJ","08724","II",NA,"Academic Program",NA
"860",860,"Ochsner Hospital for Children","1514 Jefferson Hwy Jefferson LA 70121","1514 Jefferson Hwy","Jefferson","LA","70121","IV",54,"Academic Program","Amanda England, MD"
"861",861,"Ochsner Medical Center – Baton Rouge","17000 Medical Center Dr Baton Rouge LA 70816","17000 Medical Center Dr","Baton Rouge","LA","70816","III",21,"Academic Program","Steven Spedale, MD"
"862",862,"Ochsner Medical Center – Kenner","180 W. Esplanade Ave. Kenner LA 70065","180 W. Esplanade Ave.","Kenner","LA","70065","II",20,NA,NA
"863",863,"Ochsner Medical Center – West Bank","120 Ochsner Blvd Gretna LA 70056","120 Ochsner Blvd","Gretna","LA","70056","III",16,"Academic Program",NA
"864",864,"Odessa Regional Medical Center","520 E 6th St Odessa TX 79761","520 E 6th St","Odessa","TX","79761","III",49,"Private Practice","Sanjay Patel, MD"
"865",865,"Ogden Regional Medical Center","5475 S 500 E Ogden UT 84405","5475 S 500 E","Ogden","UT","84405","III",21,"Private Practice","James Berger, MD"
"866",866,"Ohio State University Wexner Medical Center","410 W 10th Ave Columbus OH 43210","410 W 10th Ave","Columbus","OH","43210","III",49,"Academic Program",NA
"867",867,"Oishei Children’s Hospital","818 Ellicott St Buffalo NY 14203","818 Ellicott St","Buffalo","NY","14203","IV",64,"Academic Program","Deepali Handa, MD"
"868",868,"Oklahoma Children’s Hospital","​1200 Childrens Ave Oklahoma City OK 73104","​1200 Childrens Ave","Oklahoma City","OK","73104","IV",94,"Academic Program","Patricia Williams, MD"
"869",869,"Olathe Medical Center","20333 W 151st St Olathe KS 66061","20333 W 151st St","Olathe","KS","66061","II",NA,"Private Practice",NA
"870",870,"Onslow Memorial Hospital","317 Western Blvd Jacksonville NC 28546","317 Western Blvd","Jacksonville","NC","28546","III",15,"Private Practice","Madhur Mittal, MD"
"871",871,"Orange Coast Memorial","9920 Talbert Ave Fountain Valley CA 92708","9920 Talbert Ave","Fountain Valley","CA","92708","II",12,"Private Practice",NA
"872",872,"Orange County Global Medical Center","1001 N Tustin Ave Santa Ana CA 92705","1001 N Tustin Ave","Santa Ana","CA","92705","III",16,"Private Practice","Katrina Tesmer, MD"
"873",873,"Orange Park Medical Center","2001 Kingsley Ave Orange Park FL 32073","2001 Kingsley Ave","Orange Park","FL","32073","II",7,"Private Practice",NA
"874",874,"Orange Regional Medical Center","707 E Main St Middletown NY 10940","707 E Main St","Middletown","NY","10940","II",10,"Academic Program",NA
"875",875,"Oregon Health & Sciences University","3181 Sam Jackson Park Rd Portland OR 97239","3181 Sam Jackson Park Rd","Portland","OR","97239","IV",48,"Academic Program","Robert Schelonka , MD"
"876",876,"Orem Community Hospital","331 N 400 West Orem UT 84057","331 N 400 West","Orem","UT","84057","II",5,NA,NA
"877",877,"Osceola Regional Medical Center","700 W Oak St Kissimmee FL 34741","700 W Oak St","Kissimmee","FL","34741","III",18,"Academic Program",NA
"878",878,"OSF Children’s Hospital of Illinois","530 NE Glen Oak Ave Peoria IL 61637","530 NE Glen Oak Ave","Peoria","IL","61637","III",64,"Academic Program","M. Jawad Javed, MD"
"879",879,"OSF Heart of Mary Medical Center","1400 W Park St, Urbana IL 61801","1400 W Park St,","Urbana","IL","61801","II",NA,NA,NA
"880",880,"OSF St. Joseph Medical Center","2200 E Washington St Bloomington IL 61701","2200 E Washington St","Bloomington","IL","61701","II",NA,"Academic Program","M. Jawad Javed, MD"
"881",881,"Our Lady of Lourdes","4801 Ambassador Caffery Pkwy Lafayette LA 70508","4801 Ambassador Caffery Pkwy","Lafayette","LA","70508","III",50,"Private Practice",NA
"882",882,"Our Lady of the Lake Children’s  Hospital","8300 Constantin Blvd Baton Rouge LA 70809","8300 Constantin Blvd","Baton Rouge","LA","70809","III",11,NA,NA
"883",883,"Overlake Medical Center","1035 116th Ave NE Bellevue WA 98004","1035 116th Ave NE","Bellevue","WA","98004","III",18,"Private Practice",NA
"884",884,"Overland Park Regional Medical Center","10500 Quivira Road Overland Park KS 66215","10500 Quivira Road","Overland Park","KS","66215","III",70,"Private Practice","Thomas Lancaster, MD"
"885",885,"Overlook Medical Center","99 Beauvoir Ave, Summit NJ 07901","99 Beauvoir Ave,","Summit","NJ","07901","III",15,"Private Practice","Lawrence Skolnick, MD"
"886",886,"Owensboro Health Regional Hospital","1201 Pleasant Valley Road Owensboro KY 42303","1201 Pleasant Valley Road","Owensboro","KY","42303","III",20,"Academic Program","Bridget Burshears, MD"
"887",887,"Palisades Medical Center","7600 River Rd, North Bergen NJ 07047","7600 River Rd,","North Bergen","NJ","07047","II",NA,"Academic Program",NA
"888",888,"Palmetto General Hospital","2001 W 68th St Hialeah FL 33016","2001 W 68th St","Hialeah","FL","33016","II",15,"Private Practice",NA
"889",889,"Palomar Medical Center – Escondido","2185 Citracado Parkway Escondido CA 92029","2185 Citracado Parkway","Escondido","CA","92029","II",4,NA,NA
"890",890,"Palos Hospital","12251 S 80th Ave Palos Heights IL 60467","12251 S 80th Ave","Palos Heights","IL","60467","II",NA,"Private Practice","Brett Galley, MD"
"891",891,"Paoli Hospital","255 W Lancaster Ave Paoli PA 19301","255 W Lancaster Ave","Paoli","PA","19301","II",NA,"Network Medical Group",NA
"892",892,"Parkland Memorial Hospital","5200 Harry Hines Blvd Dallas TX 75235","5200 Harry Hines Blvd","Dallas","TX","75235","III",98,"Academic Program","Jaleel Mambarambath, MD"
"893",893,"Parkridge East Hospital","941 Spring Creek Rd Chattanooga TN 37412","941 Spring Creek Rd","Chattanooga","TN","37412","III",22,"Private Practice","Kelly Hersey, MD"
